fold,seed,dropout,emb_size,emb_type,save_dir,model_name,dataset_name,learning_rate,name,path_id,state,model_save_path,_step,_wandb,_runtime,validacc,validauc,_timestamp,best_epoch,create_time
1,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,hardy-sweep-47,jn30zhuj,running,,,,,,,,,
1,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,clear-sweep-46,ui3dnop2,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.5_256_0.0001_1_1_b868cd89-d86b-4d0a-9909-296360b7402b/qid_model.ckpt,0.0,{'runtime': 1896},1896.7126965522768,0.9606281781224424,0.990868375237812,1686131743.8907084,22.0,1686131743.8907084
1,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,eager-sweep-45,xd1au7xs,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.5_256_0.0001_1_1_b1fdf4b2-b08b-4d0f-940b-6cbe579b3a81/qid_model.ckpt,0.0,{'runtime': 2191},2192.0047903060913,0.9613862316021092,0.991252655557212,1686129816.9512703,27.0,1686129816.9512703
1,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,easy-sweep-44,0aunvcth,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.5_256_0.001_1_1_4b28936b-e7ed-4423-9146-489f7af7dbf6/qid_model.ckpt,0.0,{'runtime': 1006},1006.976582288742,0.9626776058926918,0.9919500786740376,1686127604.7534633,7.0,1686127604.7534633
1,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,usual-sweep-43,lkvteb6a,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.5_256_0.001_1_1_1932ea03-a5a8-4007-9c32-1cb1e9e4d0c0/qid_model.ckpt,0.0,{'runtime': 998},999.2061166763306,0.9625333744784188,0.9919681832826198,1686126581.6595128,7.0,1686126581.6595128
1,3407,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,summer-sweep-42,njfsaxbc,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.5_64_1e-05_1_1_5f93bed9-aa82-46f6-8136-497b0e0f9244/qid_model.ckpt,0.0,{'runtime': 434},435.09693908691406,0.8614305072920719,0.9140556211242068,1686125561.911103,49.0,1686125561.911103
1,42,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,rosy-sweep-41,3fetfv0v,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.5_64_1e-05_1_1_49673322-e1ab-445e-8618-4b5c1d4b8844/qid_model.ckpt,0.0,{'runtime': 447},448.1428852081299,0.8624367729730456,0.9204723128756678,1686125103.7575111,52.0,1686125103.7575111
1,3407,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,gentle-sweep-40,1x96wtb2,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.5_64_0.0001_1_1_0d092503-c0ef-4f66-8214-09442f6c13ed/qid_model.ckpt,0.0,{'runtime': 546},546.7687704563141,0.9578911354701944,0.9884655712363644,1686124641.717389,65.0,1686124641.717389
1,42,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,toasty-sweep-39,4ytezokp,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.5_64_0.0001_1_1_63393f20-d0a5-44ae-80f8-4d49dab3fe6c/qid_model.ckpt,0.0,{'runtime': 594},595.32821393013,0.957726778742302,0.9893235986790831,1686124074.414888,72.0,1686124074.414888
1,3407,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,dandy-sweep-38,4us7h1j6,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.5_64_0.001_1_1_17ac110f-c96e-4da4-8583-67059d94d48e/qid_model.ckpt,0.0,{'runtime': 167},168.3262062072754,0.9606818456254276,0.990793405172136,1686123461.4305563,13.0,1686123461.4305563
