_wandb,_runtime,validacc,validauc,_timestamp,best_epoch,model_save_path,_step,fold,seed,dropout,emb_size,emb_type,save_dir,model_name,dataset_name,learning_rate,name,path_id,state,create_time
{'runtime': 327},327.83708667755127,0.955767717364199,0.9880671647189284,1689592801.1237247,101,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_0_0.5_256_1e-05_1_1_e64b5676-6a61-455b-951c-237ad11c72a7/qid_model.ckpt,0,0,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,prime-sweep-48,0jkxk4xq,finished,1689592801.1237247
{'runtime': 299},300.8300197124481,0.9543362728682974,0.9871901815428578,1689592447.8817728,92,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_0_0.5_256_1e-05_1_1_ebb75822-4416-4a54-911b-34f24b091c8b/qid_model.ckpt,0,0,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,scarlet-sweep-47,omfcdbiz,finished,1689592447.8817728
{'runtime': 99},100.9293155670166,0.9613153744263696,0.9915646378962714,1689592133.4358666,22,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_0_0.5_256_0.0001_1_1_1c12e3b1-4501-4ee4-85fd-e573b9acd8db/qid_model.ckpt,0,0,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,bumbling-sweep-46,rppnc42h,finished,1689592133.4358666
{'runtime': 93},93.90985918045044,0.9610724822607756,0.9912120375050292,1689592007.770502,20,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_0_0.5_256_0.0001_1_1_95e28e1c-4db1-4f80-9f43-1d3fb75e950f/qid_model.ckpt,0,0,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,super-sweep-45,kp0jys3e,finished,1689592007.770502
{'runtime': 58},59.57901358604431,0.9631095378895586,0.9925994211581254,1689591900.3409705,8,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_0_0.5_256_0.001_1_1_64ca2209-34ed-464d-a664-5a92e5abb009/qid_model.ckpt,0,0,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,stellar-sweep-44,it9n8tpo,finished,1689591900.3409705
{'runtime': 59},59.73331260681152,0.963300613059826,0.992647088003582,1689591822.2081065,8,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_0_0.5_256_0.001_1_1_76104021-ec6a-49db-914b-f47a91a14124/qid_model.ckpt,0,0,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,serene-sweep-43,9ycmzbhf,finished,1689591822.2081065
{'runtime': 136},137.52949619293213,0.8597411093370987,0.9169361225242808,1689591745.266354,50,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_0_0.5_64_1e-05_1_1_9d2c2a22-82e3-4daa-9339-13615eee80f1/qid_model.ckpt,0,0,3407,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,winter-sweep-42,9tq5yl81,finished,1689591745.266354
{'runtime': 141},142.59447121620178,0.8621311682465452,0.9237384942647464,1689591592.941496,52,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_0_0.5_64_1e-05_1_1_2fe5e7af-7d72-491e-9b05-440350fa9285/qid_model.ckpt,0,0,42,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,breezy-sweep-41,w1lq5fdk,finished,1689591592.941496
{'runtime': 168},169.03242826461792,0.9584492468723586,0.9888419700016048,1689591427.5022223,63,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_0_0.5_64_0.0001_1_1_e955b991-8bce-4ee9-8bab-73af9f8d77cc/qid_model.ckpt,0,0,3407,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,divine-sweep-40,7oatbkdx,finished,1689591427.5022223
{'runtime': 169},170.64759016036987,0.95847839393223,0.9892395969647714,1689591243.0702462,65,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_0_0.5_64_0.0001_1_1_de77e116-7823-4cff-b6fa-0a96f1dc3b5c/qid_model.ckpt,0,0,42,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,wild-sweep-39,436ouis7,finished,1689591243.0702462
