d_ff,fold,seed,d_model,dropout,emb_type,n_blocks,save_dir,model_name,dataset_name,learning_rate,num_attn_heads,name,path_id,state,_step,_wandb,_runtime,validacc,validauc,_timestamp,best_epoch,model_save_path,create_time
64,0,3407,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,different-sweep-30,7g2z8jdv,running,,,,,,,,,
64,0,3407,256,0.05,qid,1,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,dark-sweep-29,o1r7zc9q,finished,0.0,{'runtime': 132},135.89856147766113,0.9627241489868158,0.9922369429805858,1689601286.0801685,5.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.05_256_64_4_1_0.001_1_1_462d05bc-0581-4818-8c27-0862a983493e/qid_model.ckpt,1689601286.0801685
64,0,3407,256,0.05,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,gallant-sweep-28,gsaafofs,finished,0.0,{'runtime': 265},266.920921087265,0.964466495454678,0.9931621494471122,1689601134.254923,9.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.05_256_64_4_2_0.001_1_1_19d11d1b-1553-4c69-9229-eb8adfdcb766/qid_model.ckpt,1689601134.254923
256,0,3407,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.0001,4,treasured-sweep-27,ekz2efkh,finished,0.0,{'runtime': 351},352.334228515625,0.9618756456883402,0.992285810762633,1689600852.4866335,4.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.05_256_256_4_4_0.0001_1_1_bf4fda4f-c47a-49ad-bdbc-91ad53fb20c4/qid_model.ckpt,1689600852.4866335
64,0,3407,256,0.1,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.0001,4,jumping-sweep-26,9wetnicr,finished,0.0,{'runtime': 495},499.6991183757782,0.9627856816687664,0.992830966774173,1689600469.7820194,10.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.1_256_64_4_4_0.0001_1_1_23e4ce63-9422-4a08-9c84-374182cae9cd/qid_model.ckpt,1689600469.7820194
64,0,3407,256,0.05,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,firm-sweep-25,493vkm5c,finished,0.0,{'runtime': 266},267.2368130683899,0.964466495454678,0.9931621494471122,1689599949.549369,9.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.05_256_64_4_2_0.001_1_1_88bb736f-5c20-4249-aaa9-77e608926e09/qid_model.ckpt,1689599949.549369
64,0,3407,256,0.1,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,swift-sweep-24,nas95kub,finished,0.0,{'runtime': 572},573.0475347042084,0.9634722568568458,0.9926429260269408,1689599665.2320027,9.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.1_256_64_8_4_0.001_1_1_80409f40-e0d9-4064-9ccf-afb783786012/qid_model.ckpt,1689599665.2320027
64,0,3407,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,crimson-sweep-23,mftyvso1,finished,0.0,{'runtime': 542},543.6526989936829,0.963209933318004,0.992697310951685,1689599074.190592,8.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.05_256_64_8_4_0.001_1_1_a52b2914-3464-41ce-bed9-bb440775dd80/qid_model.ckpt,1689599074.190592
64,0,42,256,0.3,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,fresh-sweep-22,d8qu79dl,finished,0.0,{'runtime': 225},226.57977175712583,0.9614967339100132,0.9917989282524234,1689598492.4296536,6.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_42_0_0.3_256_64_4_2_0.001_1_1_9011d84f-bd76-4267-aae9-3309cfc86d8a/qid_model.ckpt,1689598492.4296536
64,0,3407,256,0.1,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,cool-sweep-21,xryumyzq,finished,0.0,{'runtime': 298},299.1885085105896,0.9611825933758448,0.9920158890213844,1689598251.6864235,2.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.1_256_64_4_4_0.001_1_1_35d467c6-8833-4525-a242-c3cfcf36d46d/qid_model.ckpt,1689598251.6864235
64,0,42,256,0.5,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,avid-sweep-20,triyln8t,finished,0.0,{'runtime': 252},252.97080397605896,0.9609461783346666,0.9921963632053796,1689597938.587134,8.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_42_0_0.5_256_64_4_2_0.001_1_1_d5c64950-0994-4d89-b470-f13e13b63947/qid_model.ckpt,1689597938.587134
256,0,42,256,0.1,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,peach-sweep-19,vzmgw7ei,finished,0.0,{'runtime': 205},206.16486167907715,0.9606514691737456,0.9913154244414548,1689597667.1646717,2.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_42_0_0.1_256_256_8_2_0.001_1_1_fb4c57f7-4b4e-4fb4-a404-dbe38e2df3e4/qid_model.ckpt,1689597667.1646717
64,0,3407,256,0.05,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,vital-sweep-18,inve99m8,finished,0.0,{'runtime': 220},220.950843334198,0.9598094429996858,0.9922168485647024,1689597446.5950203,3.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.05_256_64_8_2_0.001_1_1_a2102fcf-7bde-425d-a7c7-e8011359d8df/qid_model.ckpt,1689597446.5950203
64,0,42,256,0.05,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,fanciful-sweep-17,qcox41zy,finished,0.0,{'runtime': 198},199.86458683013916,0.9614837796611816,0.9922631861018728,1689597201.991448,4.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_42_0_0.05_256_64_4_2_0.001_1_1_808037c9-0e4d-4548-a38e-b5040517e784/qid_model.ckpt,1689597201.991448
64,0,3407,256,0.5,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,lemon-sweep-16,6bzlomr7,finished,0.0,{'runtime': 543},544.6639623641968,0.9604927796255576,0.9921626003547784,1689596982.7723763,8.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.5_256_64_8_4_0.001_1_1_b27e3f8d-3fed-4184-bbc3-22e03ef19648/qid_model.ckpt,1689596982.7723763
64,0,3407,256,0.5,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,sage-sweep-15,c7ny1u85,finished,0.0,{'runtime': 545},546.5364887714386,0.9604927796255576,0.9921626003547784,1689596367.5225918,8.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.5_256_64_8_4_0.001_1_1_b2eaaeb7-ec71-4da8-976c-fdde3b449548/qid_model.ckpt,1689596367.5225918
256,0,3407,256,0.5,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,sweet-sweep-14,xz3irksl,finished,0.0,{'runtime': 326},326.77685379981995,0.9588961684570518,0.9918397271973745,1689595806.9058175,3.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.5_256_256_4_4_0.001_1_1_4871d463-54ef-4b9e-ad01-2bcaff3b5341/qid_model.ckpt,1689595806.9058175
256,0,3407,256,0.5,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,grateful-sweep-13,owj10eye,finished,0.0,{'runtime': 428},430.93528842926025,0.9578371586150612,0.9919667489931184,1689595461.9610777,4.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.5_256_256_8_4_0.001_1_1_abd9096b-652d-4a65-be79-f2cef6275267/qid_model.ckpt,1689595461.9610777
256,0,3407,256,0.3,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,ethereal-sweep-12,feie25yc,finished,0.0,{'runtime': 458},458.7123911380768,0.9625589823142118,0.992739095657531,1689595011.8850422,5.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.3_256_256_8_4_0.001_1_1_4a09618d-24f1-41d7-ba52-82a111f7c8c1/qid_model.ckpt,1689595011.8850422
256,0,3407,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,bright-sweep-11,l06za47r,finished,0.0,{'runtime': 367},368.65124344825745,0.9589447468901706,0.9918726340197104,1689594539.3757355,2.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.05_256_256_8_4_0.001_1_1_fd4bd4ca-7bea-4c14-9426-71a875488c8c/qid_model.ckpt,1689594539.3757355
256,0,3407,256,0.3,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,vivid-sweep-10,wz2dkxts,finished,0.0,{'runtime': 400},401.0791075229645,0.9626626163048652,0.9923021817484626,1689594156.2861366,6.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.3_256_256_4_4_0.001_1_1_700a4db5-1ede-4b94-bcd4-f9a0b6672ac2/qid_model.ckpt,1689594156.2861366
256,0,3407,256,0.3,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,stellar-sweep-9,lhqck4wt,finished,0.0,{'runtime': 399},399.9426629543304,0.9626626163048652,0.9923021817484626,1689593739.486295,6.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.3_256_256_4_4_0.001_1_1_627be521-cbd0-409b-b797-d80198808fba/qid_model.ckpt,1689593739.486295
64,0,3407,64,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,1e-05,8,different-sweep-8,7gmxezb9,finished,0.0,{'runtime': 1085},1086.2959144115448,0.9596475148892898,0.9904395237414378,1689593319.2505295,31.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.05_64_64_8_4_1e-05_1_1_7fc865aa-f3cb-4a8f-bc23-ca0e5ee50c3e/qid_model.ckpt,1689593319.2505295
256,0,3407,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.0001,8,rare-sweep-7,kfxvsxcx,finished,0.0,{'runtime': 578},578.8815288543701,0.9631516391982616,0.9928448169233304,1689592204.8447895,9.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.05_256_256_8_4_0.0001_1_1_903b5612-62d0-4241-9c39-549e3a2b2329/qid_model.ckpt,1689592204.8447895
256,0,3407,256,0.1,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,skilled-sweep-6,k960p0ci,finished,0.0,{'runtime': 327},328.0548806190491,0.9605834593673792,0.9921742732146543,1689591587.3886597,3.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.1_256_256_4_4_0.001_1_1_5d43e042-198a-4113-b817-d0e806b64d36/qid_model.ckpt,1689591587.3886597
256,0,3407,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.0001,8,lively-sweep-5,liuvwm1d,finished,0.0,{'runtime': 576},577.5061120986938,0.9631516391982616,0.9928448169233304,1689591242.4008112,9.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.05_256_256_8_4_0.0001_1_1_de8dab7d-e80f-4451-a524-6a1565986030/qid_model.ckpt,1689591242.4008112
256,0,3407,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.0001,8,crimson-sweep-4,42zjrakl,finished,0.0,{'runtime': 577},577.6986744403839,0.9631516391982616,0.9928448169233304,1689590613.3299725,9.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.05_256_256_8_4_0.0001_1_1_5b11376a-3226-4b29-ae1b-5cce8b51893a/qid_model.ckpt,1689590613.3299725
64,0,3407,256,0.1,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,1e-05,8,swift-sweep-3,4cyaybwz,finished,0.0,{'runtime': 809},810.4614884853363,0.9613153744263696,0.9915550490128564,1689590016.4272785,17.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.1_256_64_8_4_1e-05_1_1_fbfd2734-1dea-43e8-a135-8a4b5e3e30f5/qid_model.ckpt,1689590016.4272785
256,0,3407,256,0.3,qid,1,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,1e-05,8,glamorous-sweep-2,lbh9ebs8,finished,0.0,{'runtime': 418},418.9444987773895,0.9577885801819424,0.989382263539468,1689589189.4182038,32.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.3_256_256_8_1_1e-05_1_1_f172b27d-a683-4071-a8a1-dc177a654829/qid_model.ckpt,1689589189.4182038
64,0,3407,256,0.1,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.0001,8,crisp-sweep-1,eyq5ga57,finished,0.0,{'runtime': 490},487.48579597473145,0.9625201195677168,0.992506406382515,1689588754.72208,6.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_0_0.1_256_64_8_4_0.0001_1_1_6a3036cf-b3d1-46dd-82dd-2e42e246b181/qid_model.ckpt,1689588754.72208
