d_ff,fold,seed,d_model,dropout,emb_type,n_blocks,save_dir,model_name,dataset_name,learning_rate,num_attn_heads,name,path_id,state,model_save_path,_step,_wandb,_runtime,validacc,validauc,_timestamp,best_epoch,create_time
256,2,3407,256,0.1,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,absurd-sweep-33,fj6lcgdu,running,,,,,,,,,
64,2,3407,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,colorful-sweep-32,6lmv6fkk,finished,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_2_0.05_256_64_4_4_0.001_1_1_8b2ccdc5-e2e6-4508-af78-e2d02f0c702e/qid_model.ckpt,0.0,{'runtime': 322},323.38845133781433,0.9600428770799038,0.9916789489539564,1689601173.1241574,3.0,1689601173.1241574
256,2,3407,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,clear-sweep-31,kpqf11v8,finished,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_2_0.05_256_256_8_4_0.001_1_1_d3d14661-1aa9-4c2a-9025-bdfaac7398f1/qid_model.ckpt,0.0,{'runtime': 580},581.1462118625641,0.963046360842646,0.991786345183773,1689600828.1037018,9.0,1689600828.1037018
256,2,3407,256,0.1,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,atomic-sweep-30,nbop7hp0,finished,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_2_0.1_256_256_4_4_0.001_1_1_af9f1f62-1334-47b4-8781-c001553bfd20/qid_model.ckpt,0.0,{'runtime': 350},351.78197717666626,0.9609338293895932,0.9916063159120042,1689600228.3212512,4.0,1689600228.3212512
64,2,42,256,0.1,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,effortless-sweep-29,01gr7r2l,finished,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_42_2_0.1_256_64_4_4_0.001_1_1_2e5b6ea8-83bd-4296-bd1c-38a66d1d2464/qid_model.ckpt,0.0,{'runtime': 494},495.1314339637756,0.9614976351480686,0.9910467105773944,1689599863.674519,10.0,1689599863.674519
256,2,3407,256,0.1,qid,1,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.0001,8,volcanic-sweep-28,n87blmeh,finished,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_2_0.1_256_256_8_1_0.0001_1_1_6e500d72-d38e-4ec4-863e-a38e1f265be9/qid_model.ckpt,0.0,{'runtime': 224},225.2950060367584,0.962312021243644,0.9916923609970908,1689599349.805813,12.0,1689599349.805813
64,2,42,256,0.1,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.0001,4,balmy-sweep-27,jgee2388,finished,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_42_2_0.1_256_64_4_2_0.0001_1_1_e0b84800-2fe6-40b1-8871-fe6739c45e74/qid_model.ckpt,0.0,{'runtime': 321},322.35181736946106,0.9616681689885952,0.9919582240051223,1689599109.1308093,13.0,1689599109.1308093
64,2,3407,256,0.5,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.0001,8,misty-sweep-26,2s1yqz5u,finished,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_2_0.5_256_64_8_2_0.0001_1_1_6d362085-a248-4d96-a131-8eac07842b4b/qid_model.ckpt,0.0,{'runtime': 400},401.3452694416046,0.9585463556222223,0.990373496745685,1689598771.0170157,14.0,1689598771.0170157
64,2,3407,256,0.3,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.0001,4,helpful-sweep-25,7vt5rpvu,finished,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_2_0.3_256_64_4_2_0.0001_1_1_871be024-c2cd-4b16-b6b8-e5c5c1b384ac/qid_model.ckpt,0.0,{'runtime': 361},361.99160408973694,0.9606136434032986,0.9918907896425871,1689598356.057449,16.0,1689598356.057449
256,2,3407,256,0.1,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,winter-sweep-24,gv85j1ix,finished,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_2_0.1_256_256_8_4_0.001_1_1_d46b8bd1-654b-47eb-81ae-9363c54e0dab/qid_model.ckpt,0.0,{'runtime': 638},639.2260134220123,0.962541719885986,0.9921451240550204,1689597975.9462943,11.0,1689597975.9462943
64,2,42,256,0.5,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,1e-05,4,crimson-sweep-23,oh1rjzud,finished,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_42_2_0.5_256_64_4_4_1e-05_1_1_8a091c14-9368-4b56-b8b7-53f194b7c653/qid_model.ckpt,0.0,{'runtime': 689},689.6284756660461,0.9555115493173426,0.9848333561759802,1689597321.5326097,18.0,1689597321.5326097
