fold,seed,dim_s,size_m,dropout,emb_type,save_dir,model_name,dataset_name,learning_rate,name,path_id,state,_timestamp,best_epoch,model_save_path,_step,_wandb,_runtime,validacc,validauc,create_time
2,3407,64,64,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,vital-sweep-20,ggpmxo0i,running,,,,,,,,,
2,3407,64,32,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,stellar-sweep-19,n54gxok1,finished,1689601307.607526,50.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_2_0.1_64_0.0001_32_1_1_7a4a58b4-2111-4be8-9fa5-6d88485d0885/qid_model.ckpt,0.0,{'runtime': 563},564.1872401237488,0.95592222264759,0.987302771780434,1689601307.607526
2,42,64,64,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,fluent-sweep-18,yatbx1h5,finished,1689600729.2164783,50.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_2_0.1_64_0.0001_64_1_1_e944b8ee-2e7a-47ff-acb9-5d4d9c4def79/qid_model.ckpt,0.0,{'runtime': 586},586.6099903583527,0.9565904368798572,0.9879561591270416,1689600729.2164783
2,42,64,32,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,classic-sweep-17,zidduf3j,finished,1689600125.9313183,45.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_2_0.1_64_0.0001_32_1_1_cc028dd2-cab9-4e6f-ab4b-7d76c2e60ae3/qid_model.ckpt,0.0,{'runtime': 510},511.1165726184845,0.9581878865288708,0.9890232899893668,1689600125.9313183
2,3407,64,64,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,different-sweep-16,j6ql9cgp,finished,1689599598.324588,23.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_2_0.1_64_0.001_64_1_1_ba028f6b-a2b1-40db-87e2-19546a7e5731/qid_model.ckpt,0.0,{'runtime': 327},327.88987708091736,0.960697170182332,0.9911141544576704,1689599598.324588
2,3407,64,32,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,balmy-sweep-15,m6xwvnji,finished,1689599253.6308467,19.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_2_0.1_64_0.001_32_1_1_99cfe5ec-ac06-49d3-9356-7cd351e71465/qid_model.ckpt,0.0,{'runtime': 274},275.6166687011719,0.95958696007768,0.9904831685058592,1689599253.6308467
2,42,64,64,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,smooth-sweep-14,lob9ez37,finished,1689598963.0961795,13.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_2_0.1_64_0.001_64_1_1_214b3e7e-6948-4c8f-92c5-70f1ee9be14c/qid_model.ckpt,0.0,{'runtime': 230},231.71407771110535,0.9594512290617506,0.9905239061205644,1689598963.0961795
2,42,64,32,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,expert-sweep-13,ezpld774,finished,1689598717.6674907,18.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_2_0.1_64_0.001_32_1_1_413c8d14-62ed-45db-b26e-d62132b549eb/qid_model.ckpt,0.0,{'runtime': 266},266.56151580810547,0.9610312772984656,0.9912496318027572,1689598717.6674907
2,3407,64,64,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,1e-05,blooming-sweep-12,ne43ienh,finished,1689598422.7342722,199.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_2_0.05_64_1e-05_64_1_1_98bd7515-46d1-49f5-aa4d-f165d54e6478/qid_model.ckpt,0.0,{'runtime': 1953},1954.7386631965635,0.9324546780216684,0.9704244167502228,1689598422.7342722
2,3407,64,32,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,1e-05,devoted-sweep-11,0g7oolvw,finished,1689596452.292621,189.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_2_0.05_64_1e-05_32_1_1_6696eb85-d7af-4f45-a54c-29a98d031d50/qid_model.ckpt,0.0,{'runtime': 1840},1841.5345356464384,0.9492609620196776,0.981372511999254,1689596452.292621
2,42,64,64,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,1e-05,treasured-sweep-10,jd5bpd6n,finished,1689594571.802015,199.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_2_0.05_64_1e-05_64_1_1_44fecdf1-5eec-47fd-82cb-a23732ebcf34/qid_model.ckpt,0.0,{'runtime': 1960},1961.4530441761017,0.940414084007058,0.9744266966536556,1689594571.802015
2,42,64,32,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,1e-05,bumbling-sweep-9,eqkf4poq,finished,1689592590.7214398,180.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_2_0.05_64_1e-05_32_1_1_9585a520-e03e-4df0-8e22-9c13c9f03d6a/qid_model.ckpt,0.0,{'runtime': 1754},1755.5259878635406,0.948081146265831,0.981075945583714,1689592590.7214398
2,3407,64,64,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,bumbling-sweep-8,pyix53n4,finished,1689590798.490373,79.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_2_0.05_64_0.0001_64_1_1_df37e05b-bda6-4bae-a3cf-903cf8172572/qid_model.ckpt,0.0,{'runtime': 875},876.5641469955444,0.9556612014631108,0.9872367120614376,1689590798.490373
2,3407,64,32,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,sleek-sweep-7,l9nlp20e,finished,1689589909.784502,49.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_2_0.05_64_0.0001_32_1_1_87bfdfc5-2df1-4067-8bcd-334f70d7daca/qid_model.ckpt,0.0,{'runtime': 554},555.4343400001526,0.955849136715936,0.987262814448682,1689589909.784502
2,42,64,64,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,rich-sweep-6,ctz0dhps,finished,1689589336.7445433,60.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_2_0.05_64_0.0001_64_1_1_2a8b63dc-9209-4b91-9fce-128eafa36664/qid_model.ckpt,0.0,{'runtime': 687},687.7859194278717,0.9579477470391496,0.9890369362307756,1689589336.7445433
2,42,64,32,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,worthy-sweep-5,kumx0szf,finished,1689588637.20513,45.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_2_0.05_64_0.0001_32_1_1_e6e68f93-0f46-4a71-afba-d62ccd8a003d/qid_model.ckpt,0.0,{'runtime': 515},515.6607341766357,0.9584663091256488,0.9891149529124308,1689588637.20513
2,3407,64,64,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,hardy-sweep-4,3r1mksbj,finished,1689588107.9259105,17.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_2_0.05_64_0.001_64_1_1_a4c94eec-0a25-40dd-b07c-35e17a5f2980/qid_model.ckpt,0.0,{'runtime': 267},268.1258795261383,0.9600602784922024,0.9904645979502356,1689588107.9259105
2,3407,64,32,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,rose-sweep-3,aswp3as7,finished,1689587824.4141798,20.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_2_0.05_64_0.001_32_1_1_4c48bdf0-6544-4521-8160-e478d9a7ff93/qid_model.ckpt,0.0,{'runtime': 283},284.4232437610626,0.9598549418270786,0.990655290287302,1689587824.4141798
2,42,64,64,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,wandering-sweep-2,oayl2qxp,finished,1689587521.8606064,13.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_2_0.05_64_0.001_64_1_1_50b1ab3f-d506-4cfb-abd6-03a9a25e95ef/qid_model.ckpt,0.0,{'runtime': 231},232.16110134124756,0.9595243149934048,0.990571818187746,1689587521.8606064
2,42,64,32,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,serene-sweep-1,16qwa594,finished,1689587273.169469,12.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_2_0.05_64_0.001_32_1_1_b2feeeb2-cd88-4c29-bcf1-d880d50505e3/qid_model.ckpt,0.0,{'runtime': 217},215.74828100204468,0.9605161954944264,0.9909039020978876,1689587273.169469
