d_ff,fold,seed,d_model,dropout,emb_type,n_blocks,save_dir,model_name,dataset_name,learning_rate,num_attn_heads,name,path_id,state,validacc,validauc,_timestamp,best_epoch,model_save_path,_step,_wandb,_runtime,create_time
256,3,3407,256,0.1,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,likely-sweep-19,sth6v9jh,running,,,,,,,,,
256,3,3407,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,spring-sweep-18,juronljx,finished,0.9634624071564512,0.9922973257981892,1689601251.4552224,6.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_3_0.05_256_256_8_4_0.001_1_1_389875e9-3048-47ff-9616-3f6994ffae0f/qid_model.ckpt,0.0,{'runtime': 476},476.9988284111023,1689601251.4552224
256,3,3407,64,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,peachy-sweep-17,eegcgdv8,finished,0.9628996067802634,0.9926174891865124,1689600762.5101652,4.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_3_0.05_64_256_8_4_0.001_1_1_9993cd68-e958-4bc6-a349-35bfc7e5b3fa/qid_model.ckpt,0.0,{'runtime': 368},369.5875041484833,1689600762.5101652
256,3,3407,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,super-sweep-16,1jcjgwzd,finished,0.9634624071564512,0.9922973257981892,1689600378.408954,6.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_3_0.05_256_256_8_4_0.001_1_1_8103e3b9-fe60-4b8c-bf82-eb8599a973bf/qid_model.ckpt,0.0,{'runtime': 475},475.9187850952149,1689600378.408954
64,3,3407,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,eternal-sweep-15,3vcy1ad3,finished,0.9623553195743452,0.9917522740892866,1689599888.8900852,5.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_3_0.05_256_64_8_4_0.001_1_1_7d7b5c7e-282b-4f64-97c1-b94e42822269/qid_model.ckpt,0.0,{'runtime': 440},441.6177003383637,1689599888.8900852
256,3,3407,64,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,noble-sweep-14,i0vp59hn,finished,0.9628996067802634,0.9926174891865124,1689599429.578614,4.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_3_0.05_64_256_8_4_0.001_1_1_0f876f45-8eae-4db1-a34f-dd4170772605/qid_model.ckpt,0.0,{'runtime': 367},368.0048770904541,1689599429.578614
256,3,3407,64,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,wobbly-sweep-13,658zq57h,finished,0.9628996067802634,0.9926174891865124,1689599036.914665,4.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_3_0.05_64_256_8_4_0.001_1_1_73b73191-a220-4ec5-bd27-60c3fe47cf4f/qid_model.ckpt,0.0,{'runtime': 368},369.50752305984497,1689599036.914665
256,3,3407,256,0.3,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,classic-sweep-12,0lphdi5s,finished,0.9622072142121906,0.99241402702043,1689598645.0548055,5.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_3_0.3_256_256_8_4_0.001_1_1_07ad066a-a427-45c0-b294-7e1eea723c3a/qid_model.ckpt,0.0,{'runtime': 445},445.80686140060425,1689598645.0548055
256,3,3407,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,twilight-sweep-11,c4115f96,finished,0.9634624071564512,0.9922973257981892,1689598183.315031,6.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_3_0.05_256_256_8_4_0.001_1_1_4eb63f63-e20e-44c8-95a3-36be5e10e3c7/qid_model.ckpt,0.0,{'runtime': 477},478.65680408477783,1689598183.315031
256,3,3407,256,0.5,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,sparkling-sweep-10,ydkvp6c6,finished,0.9571568213627174,0.9914470837537904,1689597689.4909234,4.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_3_0.5_256_256_8_4_0.001_1_1_79dd2ff5-b28e-4a45-94b9-9af55b5bf757/qid_model.ckpt,0.0,{'runtime': 417},417.6051914691925,1689597689.4909234
