fold,seed,dim_s,size_m,dropout,emb_type,save_dir,model_name,dataset_name,learning_rate,name,path_id,state,_wandb,_runtime,validacc,validauc,_timestamp,best_epoch,model_save_path,_step,create_time
1,3407,64,64,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,treasured-sweep-20,3l7w1351,running,,,,,,,,,
1,3407,64,32,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,silver-sweep-19,rtl50c3o,finished,{'runtime': 606},608.2556388378143,0.9566031153985484,0.9876298038755826,1689600790.829517,51.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_1_0.1_64_0.0001_32_1_1_43970042-aa1b-485b-bb27-6a86f6c6090a/qid_model.ckpt,0.0,1689600790.829517
1,42,64,64,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,fallen-sweep-18,ewst5gsp,finished,{'runtime': 595},596.4639699459076,0.9575188171682342,0.988433749585138,1689600157.3842878,49.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_1_0.1_64_0.0001_64_1_1_b56a6f0b-6c8b-4494-bc05-f079c0033568/qid_model.ckpt,0.0,1689600157.3842878
1,42,64,32,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,charmed-sweep-17,ywx2gx2e,finished,{'runtime': 539},540.335738658905,0.9591254880388552,0.9894469547097994,1689599545.1227577,45.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_1_0.1_64_0.0001_32_1_1_b4185d19-0bfc-4561-8bbc-6f59cf9ae98b/qid_model.ckpt,0.0,1689599545.1227577
1,3407,64,64,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,royal-sweep-16,krnglhru,finished,{'runtime': 320},320.9747760295868,0.9615807763004308,0.9915102786151808,1689598990.573489,22.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_1_0.1_64_0.001_64_1_1_963b91c4-6e00-4f58-8b47-873b03f2d9e2/qid_model.ckpt,0.0,1689598990.573489
1,3407,64,32,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,autumn-sweep-15,wd0614se,finished,{'runtime': 260},261.5011959075928,0.9601317537198288,0.9904061215521258,1689598652.130986,16.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_1_0.1_64_0.001_32_1_1_49316851-5fa5-4bc1-9e8b-9f47f3dc0b5c/qid_model.ckpt,0.0,1689598652.130986
1,42,64,64,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,earnest-sweep-14,s3w7mzm5,finished,{'runtime': 294},296.3280522823334,0.9609803711107832,0.9914123008359058,1689598378.4192762,19.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_1_0.1_64_0.001_64_1_1_d5768c66-74fb-467b-aad4-788733d6c700/qid_model.ckpt,0.0,1689598378.4192762
1,42,64,32,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,clear-sweep-13,xfunh4tm,finished,{'runtime': 200},201.19948148727417,0.960765701098842,0.991048994815208,1689598068.1068056,10.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_1_0.1_64_0.001_32_1_1_3a2d1998-72a0-4b92-88e6-983ab895459c/qid_model.ckpt,0.0,1689598068.1068056
1,3407,64,64,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,1e-05,solar-sweep-12,xm4y9rxl,finished,{'runtime': 2014},2014.8664524555209,0.9362866112996928,0.9719944753523996,1689597853.9769957,199.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_1_0.05_64_1e-05_64_1_1_b2d88185-0d6b-463e-a60f-311fd82333b5/qid_model.ckpt,0.0,1689597853.9769957
1,3407,64,32,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,1e-05,wobbly-sweep-11,e6kgz75l,finished,{'runtime': 1958},1958.5310444831848,0.9513000952598178,0.9822173943776388,1689595822.9223106,194.0,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_1_0.05_64_1e-05_32_1_1_15c6871e-0319-4248-bdb8-fe407f252d63/qid_model.ckpt,0.0,1689595822.9223106
