d_ff,fold,seed,d_model,dropout,emb_type,n_blocks,save_dir,model_name,dataset_name,learning_rate,num_attn_heads,name,path_id,state,_step,_wandb,_runtime,validacc,validauc,_timestamp,best_epoch,model_save_path,create_time
64,1,42,256,0.1,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,stellar-sweep-45,420ntx4z,running,,,,,,,,,
64,1,3407,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,restful-sweep-44,rue5h9i3,finished,0.0,{'runtime': 445},446.0993571281433,0.962811774650155,0.9923639941357568,1689601258.1626072,8.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_1_0.05_256_64_4_4_0.001_1_1_50c2cd34-6c7f-4912-a5b4-6d985504d03f/qid_model.ckpt,1689601258.1626072
64,1,3407,256,0.1,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,stoic-sweep-43,l7y7q4a0,finished,0.0,{'runtime': 239},239.97445154190063,0.9643882575503469,0.99259942230416,1689600780.4648426,7.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_1_0.1_256_64_4_2_0.001_1_1_f494f62e-9471-401f-b86d-f67f08e6a55a/qid_model.ckpt,1689600780.4648426
64,1,42,256,0.05,qid,1,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,ethereal-sweep-42,o537h0bz,finished,0.0,{'runtime': 138},139.3782994747162,0.963687225792602,0.9922961770376992,1689600522.8999214,6.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_42_1_0.05_256_64_4_1_0.001_1_1_1b6385c5-a363-4276-8131-90ff9382e6ce/qid_model.ckpt,1689600522.8999214
64,1,3407,256,0.05,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,leafy-sweep-41,oyu9htiw,finished,0.0,{'runtime': 169},170.3474245071411,0.9602357345068628,0.9919291750192212,1689600367.1693964,2.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_1_0.05_256_64_4_2_0.001_1_1_25df24cc-6059-448f-a99b-8e521cd92008/qid_model.ckpt,1689600367.1693964
64,1,42,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,amber-sweep-40,vv68oak7,finished,0.0,{'runtime': 444},445.32142663002014,0.9636436209464264,0.99233350433145,1689600181.7146783,8.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_42_1_0.05_256_64_4_4_0.001_1_1_521c07ce-7ab9-47a7-9ae6-79bbdf71a510/qid_model.ckpt,1689600181.7146783
64,1,42,256,0.05,qid,1,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,charmed-sweep-39,xq31d2s4,finished,0.0,{'runtime': 139},140.71534252166748,0.963687225792602,0.9922961770376992,1689599720.8507094,6.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_42_1_0.05_256_64_4_1_0.001_1_1_d6fae2f3-e879-4ea6-9567-d0cf21587549/qid_model.ckpt,1689599720.8507094
256,1,3407,256,0.05,qid,1,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,jolly-sweep-38,96xjhi8q,finished,0.0,{'runtime': 162},162.7899239063263,0.9633014906148956,0.9921693039091984,1689599563.979599,6.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_1_0.05_256_256_8_1_0.001_1_1_26e10d2a-b3df-4777-8d19-e28b9bf7f02e/qid_model.ckpt,1689599563.979599
64,1,42,256,0.1,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,volcanic-sweep-37,ds37one3,finished,0.0,{'runtime': 370},371.6206374168396,0.9630935290408276,0.9920309545685602,1689599381.6843655,5.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_42_1_0.1_256_64_4_4_0.001_1_1_f9f32929-60cd-40e8-af5b-3ecc101d75a7/qid_model.ckpt,1689599381.6843655
64,1,3407,256,0.05,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,amber-sweep-36,aur92o0f,finished,0.0,{'runtime': 169},169.84022974967957,0.9602357345068628,0.9919291750192212,1689598992.103228,2.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_1_0.05_256_64_4_2_0.001_1_1_f03833d2-2540-4cfa-940f-c347ad308939/qid_model.ckpt,1689598992.103228
