fold,seed,dim_s,size_m,dropout,emb_type,save_dir,model_name,dataset_name,learning_rate,name,path_id,state,model_save_path,_step,_wandb,_runtime,validacc,validauc,_timestamp,best_epoch,create_time
3,3407,64,64,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,efficient-sweep-20,jk5vllc1,running,,,,,,,,,
3,3407,64,32,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,zesty-sweep-19,g0azpi0x,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_3_0.1_64_0.0001_32_1_1_2bef3ccd-29d6-4c3d-8e0b-23b931e80c74/qid_model.ckpt,0.0,{'runtime': 542},550.4672343730927,0.9568161790297618,0.9877629076260648,1689600876.0476575,48.0,1689600876.0476575
3,42,64,64,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,visionary-sweep-18,jcn60ase,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_3_0.1_64_0.0001_64_1_1_c40037d1-6444-4916-81f9-dfbf066c4b3a/qid_model.ckpt,0.0,{'runtime': 582},583.1752352714539,0.957941779782137,0.9887100531062142,1689600308.893685,50.0,1689600308.893685
3,42,64,32,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,zany-sweep-17,ooqfm5cc,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_3_0.1_64_0.0001_32_1_1_c2bc9e2e-5442-44e2-8c3b-384bdc5ef041/qid_model.ckpt,0.0,{'runtime': 500},501.65182638168335,0.9593821044290908,0.9896381558955156,1689599708.4285383,44.0,1689599708.4285383
3,3407,64,64,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,lunar-sweep-16,rcg2vfi4,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_3_0.1_64_0.001_64_1_1_a0f17464-5df8-4dce-ab52-30de81a53f4f/qid_model.ckpt,0.0,{'runtime': 267},267.69959020614624,0.9602114944571568,0.9907426072571296,1689599190.7339053,17.0,1689599190.7339053
3,3407,64,32,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,chocolate-sweep-15,5k557bk0,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_3_0.1_64_0.001_32_1_1_34f1b460-36c4-4b2b-912f-8014aade4b2d/qid_model.ckpt,0.0,{'runtime': 254},255.63010334968567,0.960237412895534,0.9909539810089952,1689598904.5653334,17.0,1689598904.5653334
3,42,64,64,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,major-sweep-14,118joct6,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_3_0.1_64_0.001_64_1_1_461a3c3d-fc85-4e3d-806e-93d4fed2321e/qid_model.ckpt,0.0,{'runtime': 209},210.34690117836,0.9599078784647398,0.990623894893956,1689598634.6342251,11.0,1689598634.6342251
3,42,64,32,0.1,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,electric-sweep-13,gdgcm5cy,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_3_0.1_64_0.001_32_1_1_b6cdf208-fdae-4e68-889d-0da898ef759b/qid_model.ckpt,0.0,{'runtime': 200},200.6761622428894,0.9608002132717216,0.991359787596044,1689598406.7916012,11.0,1689598406.7916012
3,3407,64,64,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,1e-05,swept-sweep-12,enq6xs59,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_3_0.05_64_1e-05_64_1_1_ec68da79-2017-4c69-bd5c-2099858306c8/qid_model.ckpt,0.0,{'runtime': 1924},1925.2424380779264,0.933585852975807,0.971653731920786,1689598180.674283,193.0,1689598180.674283
3,3407,64,32,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,1e-05,genial-sweep-11,p3ritm8i,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_3_0.05_64_1e-05_32_1_1_a592330a-eefb-43f9-bcc6-7dd3ec3dfa48/qid_model.ckpt,0.0,{'runtime': 1834},1835.0564277172089,0.9511992831700472,0.9825740649169464,1689596238.7462158,189.0,1689596238.7462158
3,42,64,64,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,1e-05,resilient-sweep-10,ds9ai6sl,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_3_0.05_64_1e-05_64_1_1_47680061-8e18-46b1-8cba-9fe3deaa7c3c/qid_model.ckpt,0.0,{'runtime': 1931},1932.5895113945007,0.941650189945127,0.9753350932903302,1689594370.4580045,192.0,1689594370.4580045
3,42,64,32,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,1e-05,summer-sweep-9,uavgn83e,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_3_0.05_64_1e-05_32_1_1_6dd5611d-2e1b-422d-a288-871b265f067e/qid_model.ckpt,0.0,{'runtime': 1689},1690.432380437851,0.949847821740386,0.9819500654859288,1689592422.2516894,174.0,1689592422.2516894
3,3407,64,64,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,astral-sweep-8,eyjbkthh,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_3_0.05_64_0.0001_64_1_1_f1f8e3b6-5e57-4fd4-b661-5d6539b9de5b/qid_model.ckpt,0.0,{'runtime': 858},859.0321712493896,0.9558868178822414,0.9877095222048662,1689590697.2437112,78.0,1689590697.2437112
3,3407,64,32,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,sandy-sweep-7,4ls4i1h9,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_3_0.05_64_0.0001_32_1_1_9516ed64-aab9-4825-baab-067832a66e83/qid_model.ckpt,0.0,{'runtime': 540},540.7816786766052,0.9567976658594924,0.987873601415062,1689589820.4134746,48.0,1689589820.4134746
3,42,64,64,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,fluent-sweep-6,vdfrdmv2,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_3_0.05_64_0.0001_64_1_1_4ecc7ee9-9c23-442f-98ae-e22cac9906b2/qid_model.ckpt,0.0,{'runtime': 587},587.8521361351013,0.958023237731322,0.9887795912107988,1689589253.1121032,50.0,1689589253.1121032
3,42,64,32,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.0001,revived-sweep-5,pl2gsszs,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_3_0.05_64_0.0001_32_1_1_c7bf2bfc-a683-4120-ac61-dc9bdbcb06aa/qid_model.ckpt,0.0,{'runtime': 502},503.2084076404571,0.9595191018890838,0.9897217038466012,1689588648.2423155,44.0,1689588648.2423155
3,3407,64,64,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,fiery-sweep-4,8okwdwyv,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_3_0.05_64_0.001_64_1_1_97eedc74-3914-4f01-8034-ca811ffd9e3a/qid_model.ckpt,0.0,{'runtime': 325},326.2940847873688,0.9593339701863904,0.9905087335043016,1689588125.1218848,23.0,1689588125.1218848
3,3407,64,32,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,fancy-sweep-3,b8p4e3tx,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_3407_3_0.05_64_0.001_32_1_1_6a595179-f849-4f5c-bcb8-e52c302c9672/qid_model.ckpt,0.0,{'runtime': 263},264.3201673030853,0.9603373840149882,0.9910717411987784,1689587782.2515523,18.0,1689587782.2515523
3,42,64,64,0.05,qid,models/dkvmn_tiaocan_falconcode_2_2,dkvmn,falconcode_2_2,0.001,unique-sweep-2,bpvuhlp9,finished,models/dkvmn_tiaocan_falconcode_2_2/falconcode_2_2_dkvmn_qid_42_3_0.05_64_0.001_64_1_1_6deb9f2f-96b4-4722-a6cc-98dccf2b8c88/qid_model.ckpt,0.0,{'runtime': 211},211.683256149292,0.9599189863669014,0.990724124915078,1689587504.4671762,11.0,1689587504.4671762
